,HH_mensual
2017-01-31,57240.48289686612
2017-02-28,69748.57608113007
2017-03-31,78677.95707692337
2017-04-30,85913.90629073515
2017-05-31,76115.5687395219
2017-06-30,81248.09819603809
2017-07-31,76610.07193812868
2017-08-31,78032.39532589373
2017-09-30,85636.79199706287
2017-10-31,92639.31646280832
2017-11-30,90734.67152256888
2017-12-31,75706.95147661451
2018-01-31,65796.51393241329
2018-02-28,85463.4512480203
2018-03-31,82494.65854086871
2018-04-30,86690.38531345621
2018-05-31,88678.52820301476
2018-06-30,86594.0935107278
2018-07-31,69752.95367210281
2018-08-31,95048.37413147569
2018-09-30,87132.2678637002
2018-10-31,109327.90122763437
2018-11-30,95584.6630179645
2018-12-31,84892.25158370245
2019-01-31,75240.93614030402
2019-02-28,82585.39206752134
2019-03-31,133241.82008916241
2019-04-30,88228.15582660359
2019-05-31,76802.62691717038
2019-06-30,84466.61167872527
2019-07-31,69257.69375522915
2019-08-31,86574.26219757355
2019-09-30,94045.97988620083
2019-10-31,93965.65661991936
2019-11-30,90284.49390231127
2019-12-31,71931.8196856562
2020-01-31,66988.26621851131
2020-02-29,76858.05228678769
2020-03-31,81405.75674255475
2020-04-30,64029.85188830092
2020-05-31,56403.99677927519
2020-06-30,63519.818044263244
2020-07-31,55592.88075753322
2020-08-31,59976.31337365297
2020-09-30,57028.170611369125
2020-10-31,61444.260195485476
2020-11-30,60868.690689491305
2020-12-31,62719.54571334198
2021-01-31,63139.557485455596
2021-02-28,62474.19036530223
2021-03-31,66942.67183666342
2021-04-30,62820.48850097203
2021-05-31,60973.059771753615
2021-06-30,64973.75233826547
2021-07-31,60660.399371602405
2021-08-31,56345.49682998525
2021-09-30,59448.80004129316
2021-10-31,63772.781649710196
2021-11-30,62783.41861792131
2021-12-31,58540.596288296074
2022-01-31,54413.77505074758
2022-02-28,58394.56159657
2022-03-31,66944.21037776476
2022-04-30,72382.18344703784
2022-05-31,73575.37330632254
2022-06-30,73815.206858511
2022-07-31,66972.33653999632
2022-08-31,64323.90909323964
2022-09-30,76084.90114364486
2022-10-31,82298.16251093528
2022-11-30,89336.78753869291
2022-12-31,73454.52408977451
